7U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, October 19, 2021",6:00 PM,South Amboy #4,South Amboy #2,South Amboy High School
"Thursday, October 21, 2021",6:30 PM,South Amboy #1,South River #1,Grekoski Park
"Thursday, October 21, 2021",6:00 PM,Highland Park #1,South Amboy #3,South Amboy High School
"Saturday, October 23, 2021",4:00 PM,South Amboy #1,Highland Park #1,Donaldson Park
"Saturday, October 23, 2021",6:00 PM,South River #1,Sayreville #1,Sayreville Babe Ruth
"Saturday, October 23, 2021",6:00 PM,South Amboy #3,South Amboy #4,South Amboy High School
"Tuesday, October 26, 2021",6:30 PM,Highland Park #1,South River #1,Grekoski Park
"Tuesday, October 26, 2021",6:00 PM,South Amboy #3,South Amboy #1,South Amboy High School
"Thursday, October 28, 2021",6:00 PM,Sayreville #1,South Amboy #4,South Amboy High School
"Saturday, October 30, 2021",4:00 PM,South River #1,Highland Park #1,Donaldson Park
"Saturday, October 30, 2021",10:00 AM,Sayreville #1,South Amboy #1,South Amboy High School
